BICAN Label,BICAN UUID,Aliases,Code,Description,Ontology ID
tonsil,659acfd5-6779-4360-a57d-b353a673bb60,hematopoietic,66,Either of the two small almond-shaped masses of lymph tissue found on either side of the oropharynx.,UBERON:0002372
trachea,b2b979a5-1e24-4457-a2f3-e1eb6a61db66,respiratory,67,The trachea is the portion of the airway that attaches to the bronchi as it branches.,UBERON:0003126
umbilical cord,89cdc357-569e-4f97-ad80-bcdaf18becc2,other,68,The connecting cord from the developing embryo to the placenta.,UBERON:0002331
ureter,67c2d520-53f3-4318-b615-b30a62d080e3,urinary,69,"Muscular duct that propels urine from the kidneys to the urinary bladder, or related organs.",UBERON:0000056
urinary bladder,b801f477-3cd9-4cfe-9144-d30b8e105146,,70,Distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion.,UBERON:0001255
urine,5d322cb6-3ccf-432c-ba15-397a9726c50f,body fluids,71,Excretion that is the output of a kidney.,UBERON:0001088
uterus,678922e4-05e2-423c-b456-b75f3e057cd0,genital,72,The female muscular organ of gestation in which the developing embryo or fetus is nourished until birth.,UBERON:0000995
vein,7e421aba-4093-4549-886c-b7f15a7aeabf,cardiovascular,73,Any of the tubular branching vessels that carry blood from the capillaries toward the heart.,UBERON:0001638
vitreous,a8e8f803-4543-4904-aaa8-0facad5c6e88,body fluids,74,,
vitreous humor,d1838d7a-95b0-40b6-9086-7d8d4eb01ed5,,75,"A transparent, semigelatinous substance that fills the cavity behind the crystalline lens of the eye and in front of the retina.",UBERON:0001797
whole blood,5e302075-2415-409a-9b5d-d737a8ec0d42,,76,"An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue.",CL:0000738
