BICAN Field Name,BICAN UUID,Description,NIMP Variable Name,NHash ID,Aliases,LinkML Class,LinkML Slot Name,Data Type,Permissible Values,Statistical Variable Type,Nullable,Min Value,Max Value,Unit,Subsets,NIMP Resource Subgroup,NIMP Display Name
library aliquot NHash ID,3db64dfd-6576-41de-8235-243691238fb2,NIMP generated globally unique identifier for a Library Aliquot. This NHash id is a concatenation of the NHash ids of the corresponding Library and the Library Pool.,library_aliquot_nhash_id,PD-BVBVFB34,,Library Aliquot,,text,,categorical variable,FALSE,,,,,Identification,Library Aliquot NHash ID
sequencing result date,529393f3-ca97-4726-8a22-b1b2284ab30e,The date of sequencing results for the Library Aliquot as reported by the Sequencing Center,sequencing_result_date,PD-GKGKJU42,,Library Aliquot,,date,,ordinal variable,TRUE,,,,,Sequencing Outcome,Sequencing Result Date
library aliquot sequencing result status,7d6a2e23-efed-4918-98a8-7b9beca99636,The status of the sequencing results for the Library Aliquot as reported by the Sequencing Center,library_aliquot_sequencing_result_status,PD-QPQPLO49,,Library Aliquot,,categorical,Yes,categorical variable,TRUE,,,,,Sequencing Outcome,Library Aliquot Sequencing Result Status
fastq file alignment status,834a0e66-fd81-4d9c-b379-146372c3a629,The FASTQ file alignment status as reported by the Library Lab,fastq_file_alignment_status,PD-KRKRCT43,,Library Aliquot,fastq file alignment status,categorical,Yes,categorical variable,TRUE,,,,alignment,Sequencing Outcome,FASTQ File Alignment Status
library aliquot fastq file size in TB,9ad18a13-465d-44c6-9274-4a2e007150be,Library Aliquot FASTQ File Size in TB,library_aliquot_fastq_file_size_in_tb,PD-OHOHXO32,,Library Aliquot,,integer,,continuous variable,TRUE,,,,,Sequencing Outcome,Library Aliquot FASTQ File Size in TB
library aliquot project,c972ebc0-bb1f-4124-b69c-8db7b28ef8b7,Library Aliquot Project,library_aliquot_project,PD-JGJGPG50,,Library Aliquot,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Library Aliquot Project
library aliquot lab,1c4ca594-b465-4bc9-be3b-2da4f2fce4ea,Library Aliquot Lab,library_aliquot_lab,PD-GHGHRI32,,Library Aliquot,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Library Aliquot Lab
alignment QC status,83dcf584-00c8-48a2-8bda-c360100e7cb3,Library Aliquot Alignment QC Status,alignment_qc_status,PD-RPKJLO49,,Library Aliquot,,categorical,Yes,categorical variable,TRUE,,,,,Sequencing Outcome,Alignment QC Status
NeMO aliquot fastq public URL,4c24ea68-c861-4329-9fbd-179de9c63444,NeMO Aliquot Fastq Public URL,nemo_aliquot_fastq_public_url,PD-DADALW44,,Library Aliquot,,text,,categorical variable,TRUE,,,,,Sequencing Outcome,NeMO Aliquot Fastq Public URL
NeMO aliquot fastq gcp URL,7e4711cd-641c-4d8b-9431-8c00c3c56fc5,NeMO Aliquot Fastq GCP URL,nemo_aliquot_fastq_gcp_url,PD-FWFWLW44,,Library Aliquot,,text,,categorical variable,TRUE,,,,,Sequencing Outcome,NeMO Aliquot Fastq GCP URL
