BICAN Field Name,BICAN UUID,Aliases,Definition,Dev. Human,Dev. NHP,Dev. Tissue,Donor,Library,Macaque Donor and Tissue,Marmoset,Donor-to-Alignment
birth weight value (oz),b6f30050-f762-4427-8533-31738e737ea2,birth_weight_oz,The weight (at birth) of the subject/donor in ounces.,,x,,x,,x,,
species,d11fb2ce-bfdb-4735-9b17-b6ba606520b1,species,The species of a subject/donor/sample/specimen.,,x,x,,,x,x,
body weight,f2673501-b48f-4703-bb7e-d642b73c2ad4,body_weight,The weight of the whole organism/donor/subject.,,x,,,,x,,
premortem perfusion done,1fc487d8-2403-4d7c-952f-7e502d5f8359,perfusion,"The status of premortem perfusion (done, not done).",,x,,,,x,x,
premortem perfusion buffer type,78d62e29-4323-4927-aec8-6fc8dc59a889,perfusate_type,The type of premortem perfusion buffer that was used for premortem perfusion. ,,x,,,,x,x,
head off time,00ab5986-a8c4-4a7f-bf2b-6b5f08a97b25,head_off_time,The time at which the head was removed from the organism/donor/subject.,,x,,,,x,,
brain extraction time,06be5810-7b9c-452e-b7ca-13eeb15179ca,brain_extraction_time,The time at which the brain was extracted from the organism/donor/subject.,,x,,,,x,,
brain fixed time,2a09ecb4-0096-4a6c-b4f0-9b68cb231413,brain_fixed_time,The time at which the brain specimen was fixed.,,x,,,,x,,
brain frozen time,fb01ce0d-1417-404a-978d-aad708c0404f,brain_frozen_time,The time at which the brain specimen was frozen.,,x,,,,x,,
brain fixation method,8e0a01a9-ab7a-49a5-bf44-cc0af47719b1,brain_fixation_method,The method used for fixing the brain specimen.,,x,,,,x,,
brain freeze method,71237def-9b50-481f-a01d-65dc99e3493f,brain_freeze_method,The method used for freezing the brain specimen. ,,x,,,,x,x,
sedation start time,0ad6cca0-d4ce-4cd8-bbce-520bc01db061,sedation_start_time,The time at which sedation of the organism/donor/subject began.,,x,,,,x,,
sedation total dose,3c895613-4526-4b87-8620-7b42eff94fee,sedation_total_dose,The total dose of sedation used on the organism/donor/subject.,,x,,,,x,,
euthanasia time,14c541ab-7db3-4438-9328-c5f3098f5ff7,euthanasia_time,The time at which euthanasia of the organism/donor/subject occurred.,,x,,,,x,,
euthanasia dose,d87c6869-c0d1-46b3-bb32-95dc3e3d5ed4,euthanasia_dose,The dose of compouds used to euthanize the organism/donor/subject.,,x,,,,x,,
perfusion time start,7f94f8ad-82b7-4827-9614-838555a1f046,perfusion_time_start,The time at which perfusion began.,,x,,,,x,,
perfusion time end,6c873444-8306-4b3f-9e5a-97f6d34c88b3,perfusion_time_end,The time at which perfusion ended.,,x,,,,x,,
matriline,ae0447a3-0504-43a3-95d5-4248e53d3224,family_history,The relavant matriline and patriline information for a subject/donor/sample/specimen.,,x,x,,,x,,
brain size anterior-posterior,0830564a-26ba-41eb-888a-33d0c39ead8f,brain_size_anterior_posterior,The size of the brain specimen in the anterior-posterior axis.,,x,,,,x,x,
brain size medial-lateral,4722f739-71f6-4001-9784-afef8f9f2d0e,brain_size_medial_lateral,The size of the brain specimen in the medial-lateral axis.,,x,,,,x,x,
brain size dorsal-ventral,e683f5ee-696f-4baf-a9bf-2f12226ceb4a,brain_size_dorsal_ventral,The size of the brain specimen in the dorsal-ventral axis.,,x,,,,x,x,
brain size unit,4d0c44c6-e620-455d-989e-126c3c81ec91,brain_size_unit_type,The unit that the brain size measurements are recorded.,,x,,,,x,x,
histological stains available,4b868ba6-dba8-45e3-a43e-88e421625cab,histological_stains_available,"The status (available, unavailable) of histological stainings of a specimen.",,x,,,,x,x,
histological stains type,6723e756-e4c1-42c7-bf2d-ee2e300b88ff,histological_stain_type,The type of histological stains available for a specimen.,,x,,,,x,x,
region of interest,71611b58-f98e-4a69-ad88-c0029a377cbe,ROI,"The brain region, structure, or area from which a brain tissue source derives.",,,x,,,x,,
secondary race,192fe5b1-c812-4767-86fb-3178f9914705,secondary_race,The non-primary race category of a donor.,,,,x,,,,
marital_status,4f0e41c9-dd15-4a37-ae6b-11b7131d7cba,marital_status,The marital or partner status of the donor at time of death.,,,,x,,,,
education_years_number,add3f7fe-ae60-4cc1-bb2e-72bbbe9a1a7d,education_years_number,The level of education of a donor given in number of years.,,,,x,,,,
family_income_range,6cd785e2-7333-43fe-8c8c-c19532e96ea6,family_income_range,The income of the donor's family given as a range.,,,,x,,,,
informant_relationship_specify,289bcbb8-5177-4c65-b0af-159fd65b69aa,informant_relationship_specify,The specific relationship that an informant bears to a subject/donor.,,,,x,,,,
confirmed_hbcac,b6cdddf7-6f0b-4855-a0fa-16c2ab29f219,confirmed_hbcac,The donor's Huntington Breast Cancer Action Coalition status. ,,,,x,,,,
consent_status,1a53e733-276f-421a-850d-eb46e50db972,consent_status,The donor's consent status.,,,,x,,,,
tissue_source,ee83ecf8-4fca-4353-a9ed-4cdd82eb167e,tissue_source,The source of the non-brain tissue that is available from this organism.,,,,x,,,,
date_of_collection,9b94949c-a7c9-4d81-a1c9-a70c96c16ca3,date_of_collection,The date that the tissue collection occurred. ,,,,x,,,,
