BICAN label,BICAN UUID,Aliases,Code,Description,Ontology ID
grn,ab4f66d6-52ff-4b27-9b3b-7a706bab2e7c,,,Guarani,
gsw,2cb0be15-4022-4aa9-8870-08132abf519a,,,Swiss German; Alemannic; Alsatian,
guj,e7e27e27-051d-46a0-b496-28022390f4bd,,,Gujarati,
gwi,9ea0f4aa-b866-4aa7-8c81-e72e7d30feb7,,,Gwich'in,
hai,b48e5bda-37e2-414e-ba63-7e731732dc42,,,Haida,
hat,bce8c745-acc1-41f8-af96-2d4730743118,,,Haitian; Haitian Creole,
hau,87185389-e741-4118-8877-4f8a34c6317e,,,Hausa,
haw,21020966-fa67-4d75-aa19-f50f1d160a63,,,Hawaiian,
heb,33a8225f-8a88-46ff-a30a-b9d22b244020,,,Hebrew,
her,cdd05fb8-df79-4484-b494-376a7b3e6c4a,,,Herero,
hil,8e7f8d27-b7d8-439b-8f72-4192b39dd62e,,,Hiligaynon,
him,84076fc0-4bd2-483b-94bf-ec28efb93501,,,Himachali languages; Western Pahari languages,
hin,ce278843-5ade-4969-995f-1a45187d0f3b,,,Hindi,
hit,a487621f-60f7-40e2-a930-42061b531131,,,Hittite,
hmn,5445a2fe-bfcb-436d-bacb-b31ee6fce124,,,Hmong; Mong,
hmo,ca3adf13-2821-41b3-841a-e4383077a4f6,,,Hiri Motu,
hrv,bbdf3352-3a1b-4f40-940e-26a045202e41,,,Croatian,
hsb,971460de-ebeb-42e9-9bb6-ba8c8580ca9b,,,Upper Sorbian,
hun,104aad16-4e50-414e-bd3d-f90b6f4d1d91,,,Hungarian,
hup,56372e33-bfa3-40e1-9536-46f5c7da5399,,,Hupa,
arm (B),5aee4b97-eeb7-4594-bbf4-a2d9b303cc02,,,Armenian,
hye (T),5a738fd9-6b63-4208-bc10-65e3d09377fd,,,,
iba,6ff2553a-e203-4901-bbb5-8e7d4d53ca9f,,,Iban,
ibo,2bb78bfc-4731-4715-ae68-e6c3993a6833,,,Igbo,
ice (B),a2e9d154-5a3d-46ad-9310-e233b5282ebc,,,Icelandic,
isl (T),b25931d0-7df3-4ede-9b14-1935baed08db,,,,
ido,e64c17ca-7789-4d99-b9a6-1050adf1a593,,,Ido,
iii,9f85d80c-3eb7-4e3f-b50e-67beb8bf4e3b,,,Sichuan Yi; Nuosu,
ijo,a0b10f17-5710-44d1-88c5-edb08613d950,,,Ijo languages,
iku,59d858d7-4199-4164-825a-0e4e9930dd4c,,,Inuktitut,
ile,9609c3bf-1144-40f7-b457-8284d2692fe0,,,Interlingue; Occidental,
ilo,60f22fe3-5953-44ee-a1ff-6051de8fdbee,,,Iloko,
ina,0891427f-3a21-4eba-936c-cc5b1147cc0f,,,Interlingua (International Auxiliary Language Association),
inc,047a0196-76ab-4415-8f34-8455b73aeb62,,,Indic languages,
ind,652011c5-3d28-4ab3-9a35-e9ecb11e86ae,,,Indonesian,
ine,5eb3e303-0dce-4d3a-9e8f-666b6d7fd336,,,Indo-European languages,
inh,ad2c27a3-8d38-4407-9767-8e3700ed52b2,,,Ingush,
ipk,263cc94c-f18a-4c2a-98db-79edd7dca7ce,,,Inupiaq,
ira,9da17d17-f3da-4028-bc0d-7e85e27d43ae,,,Iranian languages,
iro,8035748c-9d7c-4e7f-802d-519ea61308da,,,Iroquoian languages,
ice (B),58f81f3e-1ef5-423a-be82-948598227652,,,Icelandic,
isl (T),401703f0-2caa-41e5-9371-224f720cf21b,,,,
ita,e66ee3b4-cdf2-40da-8668-eae304ea6d3a,,,Italian,
jav,08420230-e83a-44b5-b6f6-beac1bbfca0f,,,Javanese,
jbo,a89e5bcf-5d71-4a46-8823-3af1dfae896e,,,Lojban,
jpn,d0147c8e-db2d-4ca6-a3c0-552ab7216bb0,,,Japanese,
jpr,3d55cca2-31f9-41c5-bdbf-f3845c0b4db4,,,Judeo-Persian,
jrb,7543523b-8b2d-4d46-a5aa-932b6453afae,,,Judeo-Arabic,
kaa,b8d6bd59-6199-4925-971c-833dbad87807,,,Kara-Kalpak,
kab,2b3812bc-e22b-4691-96f4-8e24f1c0c6eb,,,Kabyle,
kac,d0a4b62e-b96b-4d4e-a576-5bc6a031d3fe,,,Kachin; Jingpho,
kal,0a41f0e2-41bc-4fc7-a747-c4cd869b5031,,,Kalaallisut; Greenlandic,
kam,40bcb05e-7b03-4a40-9a78-400ccd528a82,,,Kamba,
kan,a3ba44fe-2264-4334-84cd-69c83805eddd,,,Kannada,
kar,8a77134c-77a2-42fd-b774-147a0ba0d1b6,,,Karen languages,
kas,e0a3989a-2414-4490-a31c-50fb7051fd77,,,Kashmiri,
geo (B),2c3e8cdd-45db-4c39-9c5a-ed4c28f9b5fd,,,Georgian,
kat (T),8d105f50-a0db-45ff-8779-9af99fa6cf2e,,,,
kau,1ce1e46a-de02-4442-98d6-dfebfc4f0627,,,Kanuri,
kaw,b04e8c01-9532-4642-ae3d-9bb074645d3e,,,Kawi,
kaz,d327ae8d-8e19-4249-a5db-b7065196e867,,,Kazakh,
kbd,3659ef28-fb18-4831-97f7-780173da9e5f,,,Kabardian,
kha,327d3015-7320-497f-a1df-31fd25e9bc6c,,,Khasi,
khi,1171c923-1207-44a7-a36c-7033d7f3a452,,,Khoisan languages,
khm,2b865129-8672-4cab-afc3-c294a80a93d3,,,Central Khmer,
kho,89a92ce7-d9d7-47ca-aa0e-bc076a6608fe,,,Khotanese; Sakan,
kik,93d5bb4a-8a19-40f6-8d56-efe118a43129,,,Kikuyu; Gikuyu,
kin,14e978a5-1531-4a5a-a5e9-65436253b918,,,Kinyarwanda,
kir,dfec39dc-7406-451e-886a-da3399c9f040,,,Kirghiz; Kyrgyz,
kmb,d8a58d1c-18f1-403c-8807-854edf54e7b6,,,Kimbundu,
kok,632eb812-2147-4fc6-9a31-83226101802f,,,Konkani,
kom,fc23916d-99d6-43ac-9dc9-208fe6496e01,,,Komi,
kon,37a88346-2cba-4a74-b6af-1506fd90d14e,,,Kongo,
kor,9b76c534-aa3c-4cea-a7ec-59fef3a06ea7,,,Korean,
kos,31c4c4f1-a650-4024-90e8-544643308917,,,Kosraean,
kpe,9c2afb93-c28b-4e84-b1d7-f914a0f27df8,,,Kpelle,
krc,8116bafb-79b7-4689-9a7c-0f8fc2c1c907,,,Karachay-Balkar,
krl,4ea1414d-4d16-4025-a180-4fe78051b5d4,,,Karelian,
kro,5f24a4c4-901b-4fb0-8464-11207c3e6a4d,,,Kru languages,
kru,6035a46c-cd7b-4af6-a987-fb306aec2c4c,,,Kurukh,
kua,936c2de3-d61c-4a60-97fc-6c01337571fc,,,Kuanyama; Kwanyama,
kum,93f3c865-e0e6-4043-9b27-30f3713a7c6c,,,Kumyk,
kur,702804d8-d864-42e6-a30d-77cb5ac86236,,,Kurdish,
kut,c5ac601a-e40e-465a-abc6-17ce4f210b67,,,Kutenai,
lad,89e592f4-30ab-49eb-84c4-b63400289685,,,Ladino,
lah,86b7e53a-531a-4fa4-a9f8-d9615375069c,,,Lahnda,
lam,b31d0d65-82b7-4c48-a3f9-22db65f9d379,,,Lamba,
lao,68166135-9388-4123-bf35-7244590fb78e,,,Lao,
lat,25352b1e-1b3c-4396-b5b4-1fb1ff7cc3fd,,,Latin,
lav,b19f0b17-5027-4a19-896f-6c6893233b2f,,,Latvian,
lez,f385ea71-94cf-44a4-ac0f-1f8c4d47df86,,,Lezghian,
lim,bdcb1fd7-363f-4703-b89c-27b300314214,,,Limburgan; Limburger; Limburgish,
lin,a44d05a9-c9e7-4666-ac20-35ab8fe84fc1,,,Lingala,
lit,b5b67879-d7af-498b-8879-316a982dbdda,,,Lithuanian,
lol,be2e029f-a08c-49e1-a30e-908ff417e980,,,Mongo,
loz,700ef574-172c-46fb-a041-0f5effc5f07d,,,Lozi,
ltz,74f2ad94-aa31-4fd4-93ce-2f945e09bcb0,,,Luxembourgish; Letzeburgesch,
lua,e5f221a6-d8a7-4360-a306-c6eae15c0db1,,,Luba-Lulua,
lub,b5800feb-1c75-463d-881d-1f823148e63d,,,Luba-Katanga,
lug,65d0dd4b-7267-4a17-9fdf-e96fd1a5430b,,,Ganda,
lui,49cf1cb3-1a29-4ecb-a739-33dab402f631,,,Luiseno,
lun,c73ddbd6-db8e-499c-9a53-5c06790c63d3,,,Lunda,
luo,91c5ae34-f5ff-4235-bb60-a20ea78dd33f,,,Luo (Kenya and Tanzania),
lus,0272eea4-a536-4b22-9baf-0e697b13ebb2,,,Lushai,
mac (B),56e56d91-1d46-48c9-949e-7f0ae047dac9,,,Macedonian,
mkd (T),92b5d6b4-3350-45b4-b594-2a355bd0239e,,,,
mad,b1ea480d-3fe1-44ba-9395-df899cc8edf0,,,Madurese,
mag,d7fc9fd2-a316-4d82-bec5-834e0d066d66,,,Magahi,
mah,feef57ad-c453-43e3-8c84-2097c8a05198,,,Marshallese,
mai,1eb6a51e-85c2-4560-94bb-d864b5694d9b,,,Maithili,
mak,2a67b616-2dae-44e3-b3a6-25450c5cceaa,,,Makasar,
mal,35ae8ee2-ff5c-4658-aee2-e0f60a5e7e50,,,Malayalam,
man,1ca9202e-d4b3-42d4-a3b0-4c2d08736ff8,,,Mandingo,
mao (B),256a9084-af5a-4a3a-b618-c549fbb4a836,,,Maori,
mri (T),811da459-b12c-47b1-985c-4792a2f680c9,,,,
map,8d23aa87-6c76-4601-807f-f792a0364bad,,,Austronesian languages,
mar,5b288dd3-ba0d-41a5-ac8e-b5c86e0610ca,,,Marathi,
mas,e1edd67b-7251-4135-b7c0-77b61bee16ef,,,Masai,
may (B),445f89ed-587d-4cdf-a3cb-d339a2bb853b,,,Malay,
msa (T),a88d8f32-e9cd-4c7b-b4bb-69e3a21ec46c,,,,
mdf,2acbf2f8-c1eb-4254-aa89-73b83a13615c,,,Moksha,
mdr,a93b3007-9d94-402d-aa49-509f786e8c76,,,Mandar,
men,b7385ec8-737f-47e0-8e8d-1bd7cca5db61,,,Mende,
mga,02e7598c-7d0e-44a7-bfcc-8ac3a3b74e38,,,"Irish, Middle (900-1200)",
